City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,78.8,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
2,Pemba,MZ,86.0,few clouds,-12.974,40.5178,Guesthouse Samotina
6,Rikitea,PF,78.35,clear sky,-23.1203,-134.9692,Pension Maro'i
8,Maun,BW,80.6,light rain,-19.9833,23.4167,Enviro Villa
10,Saint-Philippe,RE,86.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
12,Touho,NC,77.23,overcast clouds,-20.7833,165.2333,Auberge Timay Evasion
15,Puerto Ayora,EC,79.0,broken clouds,-0.7393,-90.3518,Castillo Galapagos
19,Dakar,SN,87.8,clear sky,14.6937,-17.4441,Novotel Dakar
20,Busselton,AU,78.01,clear sky,-33.65,115.3333,Observatory Guest House
32,Isla Mujeres,MX,75.0,few clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
34,Rio Esteban,HN,77.0,broken clouds,15.8333,-86.3,Hotel La Fé
35,Butaritari,KI,80.96,light rain,3.0707,172.7902,Isles Sunset Lodge
37,Kununurra,AU,78.8,overcast clouds,-15.7667,128.7333,Hotel Kununurra
41,Yeppoon,AU,77.0,clear sky,-23.1333,150.7333,Villa Mar Colina
42,Nabire,ID,75.0,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
50,Capao Bonito,BR,75.45,overcast clouds,-24.0058,-48.3494,HOTEL PASSARIM
53,Castro,BR,75.51,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
55,Bengkulu,ID,78.87,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
58,Samarai,PG,81.75,overcast clouds,-10.6167,150.6667,Nuli Sapi
62,Manokwari,ID,76.59,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
68,Rio Grande,BR,77.0,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
71,Barreirinha,BR,81.07,broken clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
76,Gat,IL,75.0,clear sky,31.61,34.7642,OlusHome
80,Mbour,SN,87.8,clear sky,14.422,-16.9638,Tama Lodge
83,Bintulu,MY,75.2,moderate rain,3.1667,113.0333,900 Boutique INN
88,Xai-Xai,MZ,87.28,overcast clouds,-25.0519,33.6442,Complexo da Familia
90,Vila Velha,BR,87.8,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
93,Marrakesh,MA,77.0,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
97,Kuala Selangor,MY,78.8,few clouds,3.35,101.25,Apps Hotel
101,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
102,Bambous Virieux,MU,84.2,light rain,-20.3428,57.7575,Casa Tia Villa
109,Santa Catalina,PH,78.13,overcast clouds,9.3337,122.8637,Don Pacondo
115,Atuona,PF,78.1,clear sky,-9.8,-139.0333,Villa Enata
120,Itarema,BR,87.96,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
123,Souillac,MU,84.2,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
126,Saint-Pierre,RE,86.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
127,Sao Felix Do Xingu,BR,87.33,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
129,Boueni,YT,87.8,clear sky,-12.9025,45.0761,The feet in water
132,Nhulunbuy,AU,77.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
140,Hithadhoo,MV,83.26,clear sky,-0.6,73.0833,Scoop Guest House
147,Miri,MY,77.0,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
148,Touros,BR,87.8,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
152,Padang,ID,75.2,scattered clouds,-0.9492,100.3543,Mercure Padang
153,Axim,GH,83.82,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
159,Luanda,AO,89.6,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
167,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
168,Matara,LK,77.41,clear sky,5.9485,80.5353,Amaloh Boutique Resort
170,Biak,ID,77.25,overcast clouds,-0.9131,122.8766,Penginapan Kim
180,Vilhena,BR,78.8,few clouds,-12.7406,-60.1458,Hotel Mirage
